Walking-flat-surface,1747760605175,1747760641029
Walking-flat-surface,1747760652221,1747760695784
Walking-flat-surface,1747760697972,1747760753914
Walking-flat-surface,1747760755749,1747760808263
Walking-flat-surface,1747760809163,1747760850778
Running,1747760883954,1747760896162
Running,1747760898979,1747760921756
Running,1747760944062,1747760969845
Running,1747761055317,1747761108771
Walking-flat-surface,1747853430859,1747853448162
Walking-flat-surface,1747853450541,1747853476417
Walking-flat-surface,1747853479689,1747853505754
Walking-flat-surface,1747853507126,1747853533743
Walking-flat-surface,1747853535321,1747853559944
Walking-flat-surface,1747853561864,1747853588562
Walking-flat-surface,1747853590775,1747853618488
Walking-flat-surface,1747853619802,1747853655132
Walking-flat-surface,1747853656607,1747853689320
Running,1747853695328,1747853750399
Running,1747853751739,1747853807499
Running,1747853808879,1747853855960
Running,1747853858671,1747853908426
Running,1747853910792,1747853958103
Running,1747853959192,1747854017856
